"continent","country","iso3","hdi","hdi_catg","npeople","genus_yn"
"Africa","Algeria","DZA",0.748,"High",36661438,TRUE
"Africa","Angola","AGO",0.581,"Medium",24220660,TRUE
"Africa","Benin","BEN",0.545,"Low",9460829,TRUE
"Africa","Botswana","BWA",0.735,"High",2015406,TRUE
"Africa","Burkina Faso","BFA",0.452,"Low",16081915,TRUE
"Africa","Cameroon","CMR",0.563,"Medium",20906392,TRUE
"Africa","Cape Verde","CPV",0.665,"Medium",498858,TRUE
"Africa","Central African Republic","CAF",0.397,"Low",4418639,TRUE
"Africa","Chad","TCD",0.398,"Low",12360986,FALSE
"Africa","Congo - Brazzaville","COG",0.574,"Medium",4394842,TRUE
"Africa","Côte d’Ivoire","CIV",0.538,"Low",21028652,TRUE
"Africa","Djibouti","DJI",0.524,"Low",853671,TRUE
"Africa","Egypt","EGY",0.707,"High",84529251,TRUE
"Africa","Ethiopia","ETH",0.485,"Low",90139928,TRUE
"Africa","Gabon","GAB",0.703,"High",1684629,FALSE
"Africa","Gambia","GMB",0.496,"Low",1848142,TRUE
"Africa","Ghana","GHA",0.611,"Medium",25387713,TRUE
"Africa","Guinea","GIN",0.477,"Low",10420459,TRUE
"Africa","Guinea-Bissau","GNB",0.48,"Low",1562996,TRUE
"Africa","Kenya","KEN",0.601,"Medium",43178270,TRUE
"Africa","Lesotho","LSO",0.527,"Low",2003793,FALSE
"Africa","Liberia","LBR",0.48,"Low",4017446,FALSE
"Africa","Libya","LBY",0.724,"High",6247438,TRUE
"Africa","Madagascar","MDG",0.528,"Low",21743970,TRUE
"Africa","Malawi","MWI",0.483,"Low",14962118,TRUE
"Africa","Mali","MLI",0.434,"Low",15514593,TRUE
"Africa","Mauritania","MRT",0.546,"Low",3598646,TRUE
"Africa","Mauritius","MUS",0.804,"Very high",1252405,TRUE
"Africa","Morocco","MAR",0.686,"Medium",32781860,TRUE
"Africa","Mozambique","MOZ",0.456,"Low",24187500,TRUE
"Africa","Namibia","NAM",0.646,"Medium",2156698,TRUE
"Africa","Niger","NER",0.394,"Low",17114770,TRUE
"Africa","Nigeria","NGA",0.539,"Low",162805080,TRUE
"Africa","Rwanda","RWA",0.543,"Low",10293333,TRUE
"Africa","São Tomé & Príncipe","STP",0.625,"Medium",184521,FALSE
"Africa","Senegal","SEN",0.512,"Low",13033814,TRUE
"Africa","Sierra Leone","SLE",0.452,"Low",6563238,FALSE
"Africa","Somalia","SOM",NA,"Low",12376305,FALSE
"Africa","South Africa","ZAF",0.709,"High",52003759,TRUE
"Africa","Sudan","SDN",0.51,"Low",35349676,TRUE
"Africa","Swaziland","SWZ",0.611,"Medium",1072029,TRUE
"Africa","Tanzania","TZA",0.529,"Low",45673520,TRUE
"Africa","Togo","TGO",0.515,"Low",6595939,FALSE
"Africa","Tunisia","TUN",0.74,"High",10741872,TRUE
"Africa","Uganda","UGA",0.544,"Low",33476772,FALSE
"Africa","Zambia","ZMB",0.584,"Medium",14023199,FALSE
"Africa","Zimbabwe","ZWE",0.571,"Medium",12894323,TRUE
"Americas","Antigua & Barbuda","ATG",0.778,"High",89250,TRUE
"Americas","Argentina","ARG",0.845,"Very high",41261485,TRUE
"Americas","Bahamas","BHS",0.814,"Very high",359583,TRUE
"Americas","Barbados","BRB",0.814,"Very high",282987,TRUE
"Americas","Belize","BLZ",0.716,"High",330236,TRUE
"Americas","Bermuda","BMU",NA,"High",NA,FALSE
"Americas","Bolivia","BOL",0.718,"High",10212951,TRUE
"Americas","Brazil","BRA",0.765,"High",197514541,TRUE
"Americas","Canada","CAN",0.929,"Very high",34339329,TRUE
"Americas","Chile","CHL",0.851,"Very high",17233584,TRUE
"Americas","Colombia","COL",0.767,"High",45662747,TRUE
"Americas","Costa Rica","CRI",0.81,"Very high",4633086,TRUE
"Americas","Cuba","CUB",0.783,"High",11236671,TRUE
"Americas","Dominica","DMA",0.742,"High",NA,FALSE
"Americas","Dominican Republic","DOM",0.756,"High",9813219,TRUE
"Americas","Ecuador","ECU",0.759,"High",15243885,TRUE
"Americas","El Salvador","SLV",0.673,"Medium",6210567,TRUE
"Americas","Grenada","GRD",0.779,"High",106786,TRUE
"Americas","Guatemala","GTM",0.663,"Medium",14521516,TRUE
"Americas","Guyana","GUY",0.682,"Medium",752029,TRUE
"Americas","Haiti","HTI",0.51,"Low",10100320,TRUE
"Americas","Honduras","HND",0.634,"Medium",8480670,TRUE
"Americas","Jamaica","JAM",0.734,"High",2825932,TRUE
"Americas","Mexico","MEX",0.779,"High",115695468,TRUE
"Americas","Netherlands Antilles","NDA",NA,"High",NA,FALSE
"Americas","Nicaragua","NIC",0.66,"Medium",5903035,TRUE
"Americas","Panama","PAN",0.815,"Very high",3706479,TRUE
"Americas","Paraguay","PRY",0.728,"High",6333981,TRUE
"Americas","Peru","PER",0.777,"High",29264314,TRUE
"Americas","St. Kitts & Nevis","KNA",0.779,"High",NA,FALSE
"Americas","St. Lucia","LCA",0.759,"High",175538,TRUE
"Americas","St. Vincent & Grenadines","VCT",0.738,"High",108315,TRUE
"Americas","Suriname","SUR",0.738,"High",535177,TRUE
"Americas","Trinidad & Tobago","TTO",0.796,"High",1336180,TRUE
"Americas","United States","USA",0.926,"Very high",311583481,TRUE
"Americas","Uruguay","URY",0.817,"Very high",3368926,TRUE
"Americas","Venezuela","VEN",0.711,"High",28887873,TRUE
"Asia","Afghanistan","AFG",0.511,"Low",30117411,FALSE
"Asia","Armenia","ARM",0.776,"High",2876536,TRUE
"Asia","Azerbaijan","AZE",0.756,"High",9173082,TRUE
"Asia","Bangladesh","BGD",0.632,"Medium",149273134,TRUE
"Asia","Brunei","BRN",0.838,"Very high",393687,TRUE
